,Product_Name,Source,Ratings,Brand,Price,Actual_price,Category
1408,acer Intel Core i5 14 Inch Laptop ( Windows 11 Home ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x185x185.jpg,4.0 - 4.49,acer,"42,508.00","81,500.00",Laptop - Notebook
1409,acer Intel Core i5 14 Inch Laptop ( Windows 11 Home ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x185x185.jpg,4.5 - 5.0,acer,"60,000.00","84,000.00",Laptop - Notebook
1410,acer Intel Core i5 14 Inch Laptop ( Windows 10 Home ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x185x185.jpg,4.0 - 4.49,acer,"42,973.00","80,000.00",Laptop - Notebook
1411,acer Intel Core i5 14 Inch Laptop ( Windows 10 Professional ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x185x185.jpg,4.0 - 4.49,acer,"43,095.00","107,500.00",Laptop - Notebook
1412,acer Intel Core i5 14 Inch Laptop ( Windows 11 Home ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x185x185.jpg,4.0 - 4.49,acer,"43,185.00","102,000.00",Laptop - Notebook
1413,acer Intel Core i5 14 Inch Laptop ( Windows 10 Professional ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x185x185.jpg,4.0 - 4.49,acer,"43,200.00","120,000.00",Laptop - Notebook
1414,acer Intel Core i5 14 Inch Laptop ( Windows 10 Professional ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x185x185.jpg,4.0 - 4.49,acer,"43,278.00","105,000.00",Laptop - Notebook
1415,hp Intel Core i5 14 Inch Laptop ( Windows 10 Professional ),https://assets-mkpbg.gem.gov.in/img/othe/6505504/06/88/440g81.jpg.630f540688.999x185x185.jpg,4.5 - 5.0,hp,"43,300.00","105,015.00",Laptop - Notebook
1416,acer Intel Pentium 14 Inch Laptop ( Windows 10 Professional ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/4a/07/front.jpg.b2ea064a07.999x185x185.jpg,4.0 - 4.49,acer,"43,398.00","85,990.00",Laptop - Notebook
1417,acer Intel Core i5 14 Inch Laptop ( Windows 11 Professional ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image4.png.0b7c3805b1.999x185x185.jpg,4.0 - 4.49,acer,"43,528.00","97,000.00",Laptop - Notebook
1418,acer Intel Core i5 14 Inch Laptop ( Windows 11 Professional ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x185x185.jpg,4.5 - 5.0,acer,"55,000.00","110,000.00",Laptop - Notebook
1419,acer Intel Core i5 14 Inch Laptop ( DOS ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x185x185.jpg,4.5 - 5.0,acer,"59,880.00","95,000.00",Laptop - Notebook
1420,acer Intel Core i5 14 Inch Laptop ( Windows 10 Professional ),https://assets-mkpbg.gem.gov.in/img/othe/6827336/05/b1/tmp21453image1.png.0b7c3805b1.999x185x185.jpg,4.5 - 5.0,acer,"71,000.00","90,000.00",Laptop - Notebook
1421,SAMSUNG Smart Phone 6.3 inch 32 gigabyte,https://assets-mkpbg.gem.gov.in/img/othe/1671210/00/99/a03core01.jpg.811c8a0099.999x185x185.jpg,4.5 - 5.0,SAMSUNG,"7,599.00","11,499.00",Smart Phone
1422,SAMSUNG Smart Phone 6.3 inch 32 gigabyte,https://assets-mkpbg.gem.gov.in/img/othe/1671210/77/c2/a04e1.jpg.f3efc077c2.999x185x185.jpg,4.5 - 5.0,SAMSUNG,"9,416.50","10,999.00",Smart Phone
1423,SAMSUNG Smart Phone 6.3 inch 32 gigabyte,https://assets-mkpbg.gem.gov.in/img/othe/1671210/77/c2/a04e1.jpg.f3efc077c2.999x185x185.jpg,4.0 - 4.49,SAMSUNG,"9,879.00","10,999.00",Smart Phone
1424,SAMSUNG Smart Phone 6.3 inch 32 gigabyte,https://assets-mkpbg.gem.gov.in/img/othe/1671210/77/c2/a04e1.jpg.f3efc077c2.999x185x185.jpg,4.5 - 5.0,SAMSUNG,"9,990.00","12,900.00",Smart Phone
1425,SAMSUNG Smart Phone 6.7 inch 64 gigabyte,https://assets-mkpbg.gem.gov.in/img/othe/1671210/87/d1/a05s1.png.62a44387d1.999x185x185.jpg,4.5 - 5.0,SAMSUNG,"11,248.00","12,499.00",Smart Phone
1426,SAMSUNG Smart Phone 6.3 inch 32 gigabyte,https://assets-mkpbg.gem.gov.in/img/othe/1671210/f3/2c/front.png.213ad4f32c.999x185x185.jpg,4.0 - 4.49,SAMSUNG,"11,698.91","12,999.00",Smart Phone
1427,SAMSUNG Smart Phone 6.3 inch 64 gigabyte,https://assets-mkpbg.gem.gov.in/img/othe/1671210/7b/5f/a04s1.jpg.4ec2237b5f.999x185x185.jpg,4.0 - 4.49,SAMSUNG,"11,989.00","15,990.00",Smart Phone
1428,SAMSUNG Smart Phone 6.3 inch 64 gigabyte,https://assets-mkpbg.gem.gov.in/img/othe/1671210/91/45/a04.1.jpg.7b7abc9145.999x185x185.jpg,4.0 - 4.49,SAMSUNG,"11,990.00","14,999.00",Smart Phone
